Buyer_ID,Sign_up_date
335063,3/14/05
106275,6/1/04
481283,1/31/05
354699,12/4/02
293010,6/18/05
270222,5/9/99
215957,10/1/02
307676,7/13/99
111300,10/19/03
290703,12/30/99
429096,10/27/04
403926,6/22/04
242411,1/30/04
352195,10/23/01
324641,11/4/01
468136,7/26/99
240385,2/15/00
207372,4/2/99
249158,5/1/03
385733,12/9/05
443375,5/12/01
124783,4/23/02
145342,1/10/01
419185,2/8/05
385450,8/23/00
283079,11/19/99
169009,4/15/05
480923,2/11/02
493797,8/6/05
388416,10/28/05
177066,5/10/01
401197,3/9/04
298040,1/24/02
499396,11/12/99
235855,6/28/04
355257,9/8/02
221481,1/22/04
284137,8/25/02
298257,2/4/00
375797,7/18/05
224277,8/30/02
378491,7/23/05
197296,8/21/05
118990,2/13/00
277633,7/15/00
375404,9/11/02
267742,8/29/05
242810,3/22/04
151229,6/6/02
432869,10/20/04
419271,9/30/99
309230,12/5/01
185074,1/25/99
363790,5/30/04
240707,5/19/02
248386,4/3/03
213748,7/14/00
406941,2/21/99
449727,5/11/05
169713,1/13/99
477641,4/8/99
135580,3/31/04
326627,8/14/99
395606,7/15/00
371484,10/8/99
307263,10/24/01
141808,11/20/01
101080,8/5/05
315570,12/23/05
427903,4/27/05
284106,7/13/00
494783,4/10/99
211976,7/11/00
163967,3/21/05
441471,8/24/05
348862,12/1/05
379768,9/2/04
348085,12/14/00
273607,8/14/04
305992,3/2/05
275754,2/8/99
106117,8/29/02
349272,9/6/04
349110,8/25/05
261184,10/8/01
437905,2/12/01
427027,4/13/99
108271,10/15/03
211566,11/8/04
438226,3/17/05
132376,2/18/00
399940,10/18/03
144339,11/21/03
242547,11/27/01
239489,5/14/01
355156,2/12/00
153368,3/4/00
306290,7/31/03
235267,4/10/05
440784,8/1/00
229124,8/7/05
487915,11/9/03
179393,5/30/00
217691,10/4/05
324158,4/25/99
432190,11/25/05
284239,5/18/02
394706,4/10/00
371058,12/26/99
261179,11/8/99
405068,4/16/04
451445,11/19/03
258152,5/26/04
230925,10/27/00
496055,3/18/04
424213,1/22/99
359644,9/27/00
293412,9/2/01
209270,5/3/00
347061,5/10/01
216490,5/10/04
203318,2/1/02
464982,12/12/01
196090,5/18/02
358598,4/7/04
382821,9/16/05
