Product,Seller_ID,Item_Category,Subcategory_1,Subcategory_2,General_Rating,Listing_Date,Purchase_Date
P-290,B-79,clothing,accessories,adidas ind pro thi gua thigh guard white blue,2.5,10/6/14,7/21/21
P-1210,B-191,jewelry,accessories,anuradha art stylish hair clip black,2.2,11/5/16,9/10/21
P-1282,B-211,footwear,women s footwear,arial morris women flats,4.3,4/24/16,11/10/21
P-12298,B-378,automotive,smart door locks,unknown,3,4/1/18,12/11/21
P-905,B-133,automotive,accessories spare parts,car interior exterior,4.5,1/12/12,12/30/21
P-796,B-133,automotive,accessories spare parts,car interior exterior,1.5,1/12/12,1/1/21
P-577,B-133,automotive,accessories spare parts,car interior exterior,1.1,1/12/12,4/8/21
P-842,B-133,automotive,accessories spare parts,car interior exterior,2.4,1/12/12,6/7/21
P-21,B-1,automotive,accessories spare parts,car interior exterior,4.2,1/12/12,8/24/21
P-950,B-133,automotive,accessories spare parts,car interior exterior,4.3,1/12/12,3/12/21
P-599,B-133,automotive,accessories spare parts,car interior exterior,2.7,1/12/12,3/2/21
P-881,B-133,automotive,accessories spare parts,car interior exterior,4.3,1/12/12,5/17/21
P-10789,B-2853,automotive,accessories spare parts,car electronics accessories,4.3,1/12/12,
P-559,B-133,automotive,accessories spare parts,car interior exterior,2.1,1/12/12,1/29/21
P-741,B-133,automotive,accessories spare parts,car interior exterior,3.4,1/12/12,2/8/21
P-664,B-133,automotive,accessories spare parts,car interior exterior,2,1/12/12,10/25/21
P-715,B-133,automotive,accessories spare parts,car interior exterior,2.6,1/12/12,12/19/21
P-612,B-133,automotive,accessories spare parts,car interior exterior,3.9,1/12/13,3/1/21
P-921,B-133,automotive,accessories spare parts,car interior exterior,4.1,1/12/13,8/19/21
P-906,B-133,automotive,accessories spare parts,car interior exterior,3.9,1/12/13,4/19/21
P-873,B-133,automotive,accessories spare parts,car interior exterior,3.7,1/12/13,4/3/21
P-702,B-133,automotive,accessories spare parts,car interior exterior,2.2,1/12/13,12/4/21
P-723,B-133,automotive,accessories spare parts,car interior exterior,4,1/12/13,7/12/21
P-223,B-64,automotive,accessories spare parts,car interior exterior,1.3,1/12/13,5/17/21
P-743,B-133,automotive,accessories spare parts,car interior exterior,1.9,1/12/13,11/26/21
P-708,B-133,automotive,accessories spare parts,car interior exterior,4.1,1/12/13,4/16/21
P-817,B-133,automotive,accessories spare parts,car interior exterior,1.5,1/12/13,6/13/21
P-858,B-133,automotive,accessories spare parts,car interior exterior,2.3,1/12/13,6/15/21
P-622,B-133,automotive,accessories spare parts,car interior exterior,2.4,1/12/13,1/4/21
P-911,B-133,automotive,accessories spare parts,car interior exterior,1.7,1/12/13,4/29/21
P-590,B-133,automotive,accessories spare parts,car interior exterior,3.5,1/12/13,1/1/21
P-1752,B-372,automotive,car bike accessories,car bike lighting,2.7,2/6/13,11/27/21
P-11342,B-3009,automotive,accessories spare parts,car bike styling,3.6,3/3/13,3/2/21
P-349,B-88,automotive,accessories spare parts,car interior exterior,4.5,10/5/13,3/4/21
P-11753,B-3159,automotive,accessories spare parts,car electronics accessories,3.9,1/12/14,7/4/21
P-4126,B-1067,automotive,accessories spare parts,car electronics accessories,4.1,1/12/14,9/3/21
P-761,B-133,automotive,accessories spare parts,car interior exterior,4.3,1/12/14,9/3/21
P-587,B-133,automotive,accessories spare parts,car interior exterior,1.1,1/12/14,5/30/21
P-738,B-133,automotive,accessories spare parts,car interior exterior,4,1/12/14,12/15/21
P-1117,B-166,automotive,accessories spare parts,car electronics accessories,3.7,1/12/14,2/16/21
P-782,B-133,automotive,accessories spare parts,car interior exterior,4.9,1/12/14,1/9/21
P-3150,B-809,automotive,accessories spare parts,car electronics accessories,2.4,1/12/14,10/17/21
P-691,B-133,automotive,accessories spare parts,car interior exterior,3.7,1/12/14,4/28/21
P-850,B-133,automotive,accessories spare parts,car interior exterior,2.7,1/12/14,9/17/21
P-910,B-133,automotive,accessories spare parts,car interior exterior,4,1/12/14,4/26/21
P-750,B-133,automotive,accessories spare parts,car interior exterior,3,1/12/14,3/8/21
P-1015,B-133,automotive,accessories spare parts,car interior exterior,2.1,1/12/14,8/25/21
P-729,B-133,automotive,accessories spare parts,car interior exterior,1.6,1/12/14,3/18/21
P-756,B-133,automotive,accessories spare parts,car interior exterior,4.8,1/12/14,4/17/21
P-774,B-133,automotive,accessories spare parts,car interior exterior,4.6,1/12/14,1/5/21
P-724,B-133,automotive,accessories spare parts,car interior exterior,2.7,1/12/14,5/31/21
P-10422,B-2741,automotive,accessories spare parts,car interior exterior,3.4,4/21/14,3/10/21
P-11595,B-3106,automotive,accessories spare parts,car interior exterior,3.5,5/24/14,12/17/21
P-4608,B-1222,automotive,car bike accessories,car interior exterior,3.1,9/6/14,9/19/21
P-346,B-88,automotive,accessories spare parts,car interior exterior,4.3,10/5/14,7/7/21
P-10177,B-2699,automotive,accessories spare parts,car electronics accessories,2.7,1/12/15,2/9/21
P-15000,B-1,automotive,accessories spare parts,car interior exterior,1.8,1/12/15,4/17/21
P-816,B-133,automotive,accessories spare parts,car interior exterior,4.1,1/12/15,5/15/21
P-651,B-133,automotive,accessories spare parts,car interior exterior,5,1/12/15,3/18/21
P-770,B-133,automotive,accessories spare parts,car interior exterior,4.6,1/12/15,1/19/21
P-228,B-64,automotive,accessories spare parts,car interior exterior,2.2,1/12/15,1/4/21
P-558,B-133,automotive,accessories spare parts,car interior exterior,4.2,1/12/15,7/18/21
P-799,B-133,automotive,accessories spare parts,car interior exterior,1.4,1/12/15,5/24/21
